name,label,price,url,img,description,tracklist
Getz/Gilberto featuring Antonio Carlos Jobim ,Mint '64 Verve vinyl jazz classic,$42.95,http://www.planetmusic33.com/getz-gilberto-featuring-antonio-carlos-jobim-mint-64-verve-vinyl-jazz-classic/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12231/images/5134/getz_gilberto_cover__92187.1404242988.285.365.jpg?c=2,1964 Verve release ,
Moving Target by Gil Scott-Heron,'82 First Pressing w/MINT Vinyl,$38.95,http://www.planetmusic33.com/moving-target-by-gil-scott-heron-82-first-pressing-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/12187/images/5049/moving_target_gil_cover__99270.1403480010.285.365.jpg?c=2,Original 1982 first pressing on Arista label (AL 9606) with nearly new vinyl.  LP cover (as pictured) is frame-ready w/no ring wear and no holes/slices/seam splits. Includes original custom insert sleeve (no seam splits) w/lyrics.  See our listings for more original Gil vinyl....,
Blue Moon by Louis Prima,'61 Dot Label Release w/Near Mint Vinyl,$34.95,http://www.planetmusic33.com/blue-moon-by-louis-prima-61-dot-label-release-w-near-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11992/images/4716/blue_moon__91661.1395036757.285.365.jpg?c=2,'61 Dot label releasel.  Vinyl is nearl mint and LP cover is frame-ready w/no ring wear and no holes/slices/seam splits.  5-Star Seller Guarantees Satisfaction. See our listings for many more Louis Prima titles along w/solo titles from Sam Butera and the Witnesses...,
Strictly Prima!,"Still in Shrink-Wrap, 1959 Mint Vinyl",$34.95,http://www.planetmusic33.com/strictly-prima-still-in-shrink-wrap-1959-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11991/images/4715/strictly_prima__50576.1395036453.285.365.jpg?c=2,"1959 release still in shrink-wrap. Rare nearly new condition throughout for this orginal Capitol label mono release (T-1132 on color band label).  Vinyl looks and sounds great.  Includes original label insert sleeve that provides a ""word about HIGH FIDELITY"".  LP cover (as pictured) is frame-ready w/no shelf wear or cover damage. 5-Star Seller Guarantees Satisfaction.  See our listings for many other titles from  Prima and the band, along with solo work from both Sam B. and Keely Smith...",
Return of the Wildest by Louis Prima,'61 Dot Release w/Very Clean Vinyl,$24.95,http://www.planetmusic33.com/return-of-the-wildest-by-louis-prima-61-dot-release-w-very-clean-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11990/images/4714/return_of_the_wildest__45537.1395036308.285.365.jpg?c=2,"Rare original high fidelity Dot Records release with near mint vinyl and a like new LP cover that is frame-ready w/no ring wear and no holes, slices or seam splits.  Vinyl has minimum wear w/minimum affect on this sturdy mono pressing. This is label release DL 25392.  Includes original Dot Records insert sleeve ""greatest sound on record!"" and in nearly new condition.  Ships in 24 hours. 5-Star Seller Guarantees Satisfaction.  See our listings for other rare Louis Prima vinyl along w/solo work from Keely Smith and Sam Butera...",
By Myself JULIE LONDON," 1965 Liberty LP,  Mint Vinyl & Record Club Rel.",$38.95,http://www.planetmusic33.com/by-myself-julie-london-1965-liberty-lp-mint-vinyl-record-club-rel/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11803/images/7644/julie_london_by_myself__55590.1465757969.285.365.jpg?c=2,"Yes, this is the Columbia Record Club special release (related text on each label side) on Liberty label (L2S 5054). Vinyl is like new (both sides) and LP cover (as pictured) is frame-ready w/no ring wear and no holes, slices or seam splits. See our listings for many more rare Julie titles on original Liberty vinyl...",
10th Anniversary New Orleans Jazz & Heritage Festival," Clifton Chenier, Charles Mingus, Roosevelt Sykes and Eubie Blake w/Mint Vinyl",$24.95,http://www.planetmusic33.com/10th-anniversary-new-orleans-jazz-heritage-festival-clifton-chenier-charles-mingus-roosevelt-sykes-and-eubie-blake-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11751/images/3350/Various_Jazz_10th_Anniversary_539200__68881.1358899139.285.365.jpg?c=2,Like new vinyl (both sides) with original custom insert sleeve that lists all the songs and when/where these were played at the festival. LP cover is frame-ready w/no holes/notch cuts.  5-Star Seller Guarantees Satisfaction. See our listings for many other classic Mardi Gras vinyl titles...,
"Strangers in the Night, FRANK SINATRA",'66 Shrink Stereo Vinyl,$34.00,http://www.planetmusic33.com/strangers-in-the-night-frank-sinatra-66-shrink-stereo-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11703/images/1780/strangers_in_the_night_cover_art_lo__61701.1356647019.285.365.jpg?c=2,"Rare still in shrink for this 1966 Reprise stereo release w/Frank's head on the label (FS-1017). Vinyl plays fine w/some aging spots not affecting play. LP cover is frame-ready w/no holes, slices or seam splits. Great collectible for fans of the Chairman of the Board. 5ee our listings for many other rare Sinatra vinyl...",
The In Sound by Gary McFarland , '66 Verve Release,$24.95,http://www.planetmusic33.com/the-in-sound-by-gary-mcfarland-66-verve-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11515/images/1995/1532724041_55ae325077_z__96141.1356900365.285.365.jpg?c=2,Original '66 Verve release V6-8632 with near mint vinyl (both sides) and VG++ LP cover (as pictured) that has only minimum shelf wear and no holes/slices and no seam splits. Center binding and edges are very clean. 5-Star Seller Guarantees Satisfaction. See our listings for other classic Verve jazz vinyl...,
"Un ""Sung Stories"" by Phil Alvin w/Sun Ra Arkestra & Dirty Dozen Brass Band",Promo w/Mint Vinyl,$19.99,http://www.planetmusic33.com/un-sung-stories-by-phil-alvin-w-sun-ra-arkestra-dirty-dozen-brass-band-promo-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11488/images/3343/61xlnjB9BqL._SL500_SS500___00753.1358898022.285.365.jpg?c=2,"Like new vinyl (both sides) for this special record label edition prepared for radio station play. Includes all 10 songs of standard release with listing of band membes on back cover. Sun Ra and the Arkestra nd The Dirty Donzen Brass Band are playing on side one and side two, respectively. Cover is as pictured with gold promo stamp in upper right corner. LP cover is also like new with no ringwear, holes, slices or seam splits. 5-Star Seller Guarantees Satisfaction. See our listings for several Sun Ra titles...",
Come Fly with Me [Vinyl] by Frank Sinatra,"Sealed '60s Capitol ""Special Re-Issue""",$26.95,http://www.planetmusic33.com/come-fly-with-me-vinyl-by-frank-sinatra-sealed-60s-capitol-special-re-issue/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11444/images/3307/4e59304f_b08d_4c5c_a921_89e1598a26b3_0__00497.1358897156.285.365.JPG?c=2,"'60s Capitol label stereo release (SY-4528). Yes, still factory sealed w/two small pin holes from a staple.  Back cover states ""A Special Re-Issue"". 5-Star Seller Guarantees Satisfaction.  See our listings for other classic Sinatra vinyl...",
Whipped Cream And Other Delights [Vinyl] by Herb Alpert,Original Still in Shrink-Wrap and Frame-Ready,$34.95,http://www.planetmusic33.com/whipped-cream-and-other-delights-vinyl-by-herb-alpert-original-still-in-shrink-wrap-and-frame-ready/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11426/images/3043/353625750_c681f5478b_o__14918.1358267639.285.365.jpg?c=2,Still in shrink-wrap w/near mint vinyl. Frame-ready LP cover (as pictured) with no ring wear and no holes or notch cuts. Original A&M release SP 411.5-Star Seller Guarantees Satisfaction. See our listings for other rare sealed vinyl. We also have other unique covers like the Dali art on Jackie Gleason's LP....,
King of the Blues Trombone [Vinyl] Jack Teagarden,,$47.99,http://www.planetmusic33.com/king-of-the-blues-trombone-vinyl-jack-teagarden/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11410/images/1647/2b_563441_0_JackTeagardenKingoftheBluesTro__89346.1356335305.285.365.jpg?c=2,Rare like new vinyl (all six sides) on yellow Epic label with matching all yellow Epic insert sleeves. Also includes original 16 page booklet on thick stock (also like new). Container box (as pictured) is near mint with very minimum shelf wear. Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for other jazz box sets and other titles on vinyl and CD. Also have rare jazz films on VHS format...,
Kid Ory: The Great New Orleans Trombonist [ LP Vinyl ] Kid Ory,,$24.95,http://www.planetmusic33.com/kid-ory-the-great-new-orleans-trombonist-lp-vinyl-kid-ory/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11385/images/2037/d38e9722_3077_4180_aa5e_099097659af3_0__15116.1356936418.285.365.JPG?c=2,Columbia Mono release (CL 835) with rare near mint vinyl that still shines with an LP cover that is frame-ready (no ringwear/holes/slices). Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for other rare Kod Ory vinyl...,
Shades of Bix by Jimmy McPartland and Bobby Hackett,MCA Double LP,$24.99,http://www.planetmusic33.com/shades-of-bix-by-jimmy-mcpartland-and-bobby-hackett-mca-double-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11337/images/2555/KGrHqJrgFCYhpiFQoBQntJ4Rzw60_1__25770.1357259333.285.365.jpg?c=2,Rare near mint vinyl (all four sides) w/minimum surface wear not affecting play.  Test-played to confirm great audio. LP gate-fold cover is frame-ready( nearly no shelf wear and no holes/slices/seam splits).  MCA Leonard Feather Series release (MCA2-4100).  5-Star Seller Guarantees Satisfaction.,
Shadows and Light by Joni Mitchell, 1980 White Label Promo Double LP,$34.95,http://www.planetmusic33.com/shadows-and-light-by-joni-mitchell-1980-white-label-promo-double-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11320/images/2191/joni__50261.1356993194.285.365.jpg?c=2,White label promo w/near mint vinyl and both original custom insert sleeves.  LP cover has promo stamp. Minimum shelf wear w/no holes/slices/seam splits. 5-Star Seller Guarantees Satisfaction. See our listings for other Joni vinyl....,
FATHER OF THE STRIDE PIANO [Vinyl] by James Price Johnson,'62 Mono Release,$24.95,http://www.planetmusic33.com/father-of-the-stride-piano-vinyl-by-james-price-johnson-62-mono-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11289/images/2779/James_P_Johnson_Father_Of_The_Str_446450__45037.1357376270.285.365.jpg?c=2,Rare original 1962 Columbia mono release (CL 1780) with nearly like new vinyl and LP cover (frame-ready w/nearly no shelf wear and no holes/slices or seam splits). Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for other rare jazz vinyl...,
"OTHER WORLDS OTHER SOUNDS, Esquivel",1958 Classic Vinyl,$44.00,http://www.planetmusic33.com/other-worlds-other-sounds-esquivel-1958-classic-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11283/images/2004/Esquivel_OWOS_Front__86653.1356900564.285.365.jpg?c=2,"Rare very clean vinyl for this original 1958 RCA Victor release (LSP 1753). LP cover is frame-ready with nearly no shelf wear and no holes/slices/seam splits. Cover (as pictured) states ""Living Stereo, Stereo Orthophonic High Fidelity Recording"". See our listings for other rare Esquivel vinyl...",
Kid Ory Favorites [LP VINYL] [Vinyl],,$17.99,http://www.planetmusic33.com/kid-ory-favorites-lp-vinyl-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11225/images/3671/kid_ory_favorites__32311.1359596952.285.365.jpg?c=2,"Immaculate condition throughout, including superb Like New vinyl (all four sides) on Good Time Jazz label (S10041). Includes original GTJ insert sleeves (2). LP gatefold cover is Like New and frame-ready (no ringwear/holes/slices/seam splits). Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for other dixie jazz vinyl titles...",
stomps and joys [Vinyl] JELLY ROLL MORTON,,$28.99,http://www.planetmusic33.com/stomps-and-joys-vinyl-jelly-roll-morton/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/11087/images/2202/c704287c_9f88_4333_a8d3_7e71b420a422_0__59872.1356993481.285.365.JPG?c=2,Rare RCA MONO release (LPV-508) from the Vintage Series. Vinyl is like new (both sides) and LP cover is also like new w/no ringwear/holes/slices seam splits. Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for other vinyl from New Orleans musicians...,
"WHILE THE CITY SLEEPS , George Benson",White Label Vinyl Release,$24.00,http://www.planetmusic33.com/while-the-city-sleeps-george-benson-white-label-vinyl-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10942/images/1257/george__69259.1355524628.285.365.jpg?c=2,Rare white label Warner Bros. release (1-25475) with Like new vinyl and LP cover (like new aside from radio station label). Includes original insert sleeve w/lyrics. Nearly no visible shelf wear and no holes/slices or seam splits. See our listings for other rare Benson vinyl...,
Frank Sinatra Sings For Only The Lonely,In Shrink-Wrap w/Mint Mono Vinyl,$38.95,http://www.planetmusic33.com/frank-sinatra-sings-for-only-the-lonely-in-shrink-wrap-w-mint-mono-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10917/images/1616/Frank_Sinatra_Frank_Sinatra_Sings_For_Only_The_Lonely_1958__81778.1356235008.285.365.jpg?c=2,"Still in shrink-wrap w/vinyl that looks almost unplayed.  LP cover (as pictured) is frame-ready w/no shelf wear or cover damage. Includes label insert ""Capitol '66; Sounds Great"" featuring LP covers from the era. 5-Star Seller Guarantees Satisfaction. See our listings for other classic Sinatra titles...",
Basic Miles: The Classic Performances of Miles (Dewey) Davis [vinyl],1973 Promo Release w/Timing Strip,$28.95,http://www.planetmusic33.com/basic-miles-the-classic-performances-of-miles-dewey-davis-vinyl-1973-promo-release-w-timing-strip/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10899/images/2867/61QREDzjlvL._SL500_AA300___35217.1358264092.285.365.jpg?c=2,"Like new vinyl w/clean LP cover (as pictured w/timing strip and hype label). No holes or not cuts. No NSF stamps. Includes label's ""Inner Sleeve"" insert featuring promotional text on label artists. Original 1973 Columbia label release C32025. 5-Star Seller Guarantees Satisfaction. See our listings for many more Miles titles..",
I Just Can't Stop It by English Beat,'82 IRS Release w/Mint Vinyl,$19.95,http://www.planetmusic33.com/i-just-cant-stop-it-by-english-beat-82-irs-release-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10869/images/3576/English_Beat_I_Just_Cant_Stop_It_ORIGINAL_PRESS__29645.1359593987.285.365.jpg?c=2,This is IRS label release (SP-70606) with like new vinyl that is well maintained with an IRS monogrammed anti-static sleeve. LP cover is also like new w/no ringwear and no holes/slices and no seam splits. Center binding and borders are also very clean. 5-Star Seller Guarantees Satisfaction.,
Best Of Gil Scott-Heron [Vinyl] Gil Scott-Heron,Still in Shrink-Wrap w/Hype Label,$36.95,http://www.planetmusic33.com/best-of-gil-scott-heron-vinyl-gil-scott-heron-still-in-shrink-wrap-w-hype-label/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10820/images/3085/GIL_SCOTT_HERON_The_Best_Of_288713__49236.1358365639.285.365.jpg?c=2,"Still in shrink-wrap w/Re-Ron hype label and no holes or notch cuts. Near mint vinyl for this 1984 Arista release (AL B 8248). Custom insert sleeve w/lyrics includes (also like new). 5-Star Seller Guarantees Satisfaction. See our listings for other rare Gil vinyl. RIP Gil, we miss you...",
"Strictly Prima! , LOUIS PRIMA", 1985 French vinyl import,$34.95,http://www.planetmusic33.com/strictly-prima-louis-prima-1985-french-vinyl-import/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10813/images/3747/KGrHqRHJDE_lM93hHvBPt_TMYJNw60_35__78439.1359611658.285.365.JPG?c=2,Rare 1985 French import in nearly new condition throughout including vinyl and laminated LP cover (frame-redy w/nearly no shelf wear). See our listings for other rare Prima vinyl...,
Porgy & Bess by Ray Charles and Cleo Laine,'76 Double LP Vinyl Box Set,$41.95,http://www.planetmusic33.com/porgy-bess-by-ray-charles-and-cleo-laine-76-double-lp-vinyl-box-set/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10802/images/1707/1312456347_folder__13758.1356336789.285.365.jpg?c=2,"Rare original  1976 2-LP RCA release (CPL 2-1831) with like new vinyl (all four sides), booklet (like new) and original container box (VG++ w/minimum wear and no tears or marks). Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for other rare Ray Charles vinyl titles...",
Sinatra & Company with Antonio Carlos Jobim [Vinyl],"Sealed 1971 Reprise, Classic Bossa Nova",$38.95,http://www.planetmusic33.com/sinatra-company-with-antonio-carlos-jobim-vinyl-sealed-1971-reprise-classic-bossa-nova/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10795/images/2013/Frank_Sinatra_Sinatra_Company_456397__36374.1356935983.285.365.jpg?c=2,Still sealed '71 Reprise release FS -1033.  No holes or notch cuts. 5-Star Seller Guarantees Satisfaction. See our listings for Frank's '67 collaboration w/Jobim...,
BUTTERFLY DREAMS Flora Purim,Sealed 180 Gram Reissue,$26.00,http://www.planetmusic33.com/butterfly-dreams-flora-purim-sealed-180-gram-reissue/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10770/images/2569/OJCCD_315_2Flora_Purim_Butterfly_Dreams_Posters__85822.1357259939.285.365.jpg?c=2,New 2015 sealed 180 gram reissue. See our listings for Flora Purim titles...,
Reflections [Vinyl] Gil Scott-Heron,,$22.99,http://www.planetmusic33.com/reflections-vinyl-gil-scott-heron/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10764/images/2773/gilscottheron__49789.1357376112.285.365.jpg?c=2,Original 1981 Arista label release with very clean vinyl and a frame-ready LP cover that has no ring wear and no holes/slices or seam splits. Includes original custom insert sleeve w/lyrics. See our listings for many other rare Gil vinyl...,
LOST MAN Soundtrack [vinyl],Still Sealed,$28.95,http://www.planetmusic33.com/lost-man-soundtrack-vinyl-still-sealed/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10666/images/1966/T2eC16hHJIYE9qUcQYEtBQF6ufFOPQ60_35__45296.1356899844.285.365.JPG?c=2,"Yes, still factory sealed with no holes, slices or seam splits. Original UNI label release (stereo 73060). Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for other rare soundtracks on vinyl...",
From South Africa to South Carolina [Vinyl] Gil Scott-Heron,"'75 Release In Shrink , Hype Label w/Mint Vinyl",$39.95,http://www.planetmusic33.com/from-south-africa-to-south-carolina-vinyl-gil-scott-heron-75-release-in-shrink-hype-label-w-mint-vinyl/,http://cdn2.bigcommerce.com/server4100/gcn15dx3/products/10581/images/1941/soafrica__94074.1356899386.285.365.gif?c=2,"Original 1975 release (Arista AL 4044)  in shrink-wrap w/nearly new vinyl. LP gatefold cover is frame-ready w/no ringwear, holes/slices or seam spits. Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for other original release Gil gems...",
The First Minute Of A New Day [vinyl] by Gil Scott-Heron,'70s Arista Label Pressing,$28.95,http://www.planetmusic33.com/the-first-minute-of-a-new-day-vinyl-by-gil-scott-heron-70s-arista-label-pressing/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10568/images/2739/Gil_Scott_Heron_1975_Brian_Jackson_Midnight_Band_The_First_Minute_of_a_New_Day__53711.1357283502.285.365.jpg?c=2,"Near mint or better for this '70s vinyl or Arista label (AB 4030). LP cover is frame-ready w/nearly no visible shelf wear and no ring wear, holes, slices or seam splits. Includes original Arista power blue insert sleeve. 5-Star Seller Guarantees Satisfaction. See our listings for other Gil vinyl classics...",
Nightwings by Bucky Pizzarelli and Joe Venuti,,$18.99,http://www.planetmusic33.com/nightwings-by-bucky-pizzarelli-and-joe-venuti/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10558/images/3464/pizzar_buck_nightwing_101b__30168.1358901552.285.365.jpg?c=2,Near mint vinyl and LP cover. 5-Star Seller Guarantees Satisfaction.,
Urubu [Vinyl] Antonio Carlos Jobim,1976 Promo Release,$29.95,http://www.planetmusic33.com/urubu-vinyl-antonio-carlos-jobim-1976-promo-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10546/images/4013/Antonio_Carlos_Jobim_Urubu_492041__26922.1359665642.285.365.jpg?c=2,"Rare promotional copy with nearly new vinyl on Warner Bros. label (BS 2928) and ""PROMOTION"" text on each label side. LP cover has Promotional Copy label as pictured and no holes or slices. Some shelf wear but largely outside of the hawk and Jobim photo. Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for other rare Jobim vinyl, including collaborations with the Chairman of the Board...",
Sinatra At The Sands ,Original '66 Reprise Release w/Mint Vinyl,$58.95,http://www.planetmusic33.com/sinatra-at-the-sands-original-66-reprise-release-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10538/images/1740/1299947265_aaa__98508.1356646040.285.365.jpg?c=2,Very clean vinyl w/LP cover as pictured. Frame-ready LP gate-fold cover (as pictured). See our listings for other Sinatra vinyl... ,
TRAVELS Pat Metheny Group,1983 EMI Double LP w/Mint Vinyl,$39.95,http://www.planetmusic33.com/travels-pat-metheny-group-1983-emi-double-lp-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10453/images/6028/travels_pat_metheny__37586.1412914741.285.365.jpg?c=2,All four vinyl sides are like new and well-protected in high-end plastic sleeves. LP gatefold cover is  frame-ready w/no shelf wear or cover damage. See our listings for other rare Metheny vinyl...,
"Bop Till You Drop, Ry Cooder",Mint Condition Vinyl LP,$19.95,http://www.planetmusic33.com/bop-till-you-drop-ry-cooder-mint-condition-vinyl-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10435/images/3667/Ry_Cooder_Bop_Til_You_Drop__58637.1359596841.285.365.jpg?c=2,Rare 1st issue release of this classic on Warner Brothers label (BSK 3358). Vinyl is like new on both sides and well protected with thick plastic WB logo sleeve. LP cover is frame-ready w/very minimum shelf wear. See our listings for other Ry vinyl titles...,
New Orleans Jazz & Heritage Festival 1976 [Vinyl] Various Artists,,$33.99,http://www.planetmusic33.com/new-orleans-jazz-heritage-festival-1976-vinyl-various-artists/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10393/images/2051/NewOrleansJazzHeritage1976__07266.1356936597.285.365.jpg?c=2,Vinyl is near mint or better and LP cover (as pictured) has nearly no shelf wear aside from small notch cuts  Includes both original black glossy stock insert sleeves.  See our listings for 20+ other N'awlins classic vinyl titles...,
BLUES WITH A KICK Bobby Hackett,Original Vinyl Release,$24.00,http://www.planetmusic33.com/blues-with-a-kick-bobby-hackett-original-vinyl-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10328/images/2341/url_3__96079.1357092229.285.365.jpg?c=2,Near mint condition throughout for this rare Mono release on Capitol (T-1172). LP cover is frame-ready w/minimum shelf wear and no holes/slices/seam splits. See our listings for many other classic jazz titles from this era...,
The Great Ray Charles [Vinyl] Ray Charles,Still Sealed '73 Release,$34.95,http://www.planetmusic33.com/the-great-ray-charles-vinyl-ray-charles-still-sealed-73-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10321/images/1892/Ray_Charles_The_Great_Ray_Cha_511100__76210.1356839909.285.365.jpg?c=2,Still sealed 1973 stereo release (Atlantic 1259) w/o holes/slices or seam splits. 5-Star Seller Guarantees Satisfaction. See our listings for other rare Ray classics on vinyl..,
Different Strokes [Vinyl] - Various Artists,Still Sealed,$18.99,http://www.planetmusic33.com/different-strokes-vinyl-various-artists-still-sealed/,http://cdn2.bigcommerce.com/server4100/gcn15dx3/products/10303/images/3465/Picture_14__24938.1358901570.285.365.png?c=2,"Yes, still sealed with no holes or notch cuts. Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for many other rare vinyl..",
'Round The World With Les Baxter,"Rare Promo Release, Mint Vinyl",$34.95,http://www.planetmusic33.com/round-the-world-with-les-baxter-rare-promo-release-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10282/images/3456/les_baxter_round_the_world_vinyl_lp_2__57461.1358901460.285.365.jpg?c=2,Vinyl looks nearly new and LP cover (as pictured) has nearly no visible shelf wear and no holes/slices/seam splits. ,
Byrd & The Herd [Vinyl] Charlie Byrd & Woody Herman,,$21.77,http://www.planetmusic33.com/byrd-the-herd-vinyl-charlie-byrd-woody-herman/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10254/images/3078/byrd_charli_bambasamb_104b__94715.1358365412.285.365.jpg?c=2,Rare like new original Pickwick release (PC 3042) w/like new vinyl and a frame-ready LP cover (no ring wear and no holes/slices/seam splits). Also includes original Pickwick insert sleeve. See our listings for many other classic jazz vinyl titles...,
Hollywood Be Thy Name DR. JOHN,1975 UA Release w/Mint Vinyl,$18.95,http://www.planetmusic33.com/hollywood-be-thy-name-dr-john-1975-ua-release-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10192/images/3715/drjohn_hollywood1__35480.1359610530.285.365.jpg?c=2,"Like new vinyl for this original Dr. John release. Frame-ready LP cover. Includes custom insert sleeve (w/great photos of the Dr. John, Master of Ceremomonies Ringo Starr and others).  See our listings for other Dr. John titles...",
"Bud Shank, I Hear Music",Vinyl Record [Vinyl] Bud Shank,$18.00,http://www.planetmusic33.com/bud-shank-i-hear-music-vinyl-record-vinyl-bud-shank/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10178/images/3710/Bud_Shank_I_Hear_Music_566399__48438.1359610458.285.365.jpg?c=2,"Still in original cellophane with near mint vinyl for this original Sunset label release (SUS-5132). Vinyl has glossy finish still intact. LP cover is frame-ready w/no ring-wear and no holes, slices or seam splits. Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for other rare Bud Shank vinyl...",
Night Train Goes to Hollywood [Vinyl] Buddy Morrow,,$18.00,http://www.planetmusic33.com/night-train-goes-to-hollywood-vinyl-buddy-morrow/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10146/images/3042/MORROWNIGHT__82561.1358267600.285.365.jpg?c=2,"Vinyl is in VG++ condition; LP cover is also VG++ close to mint w/minimum shelf wear and no holes, cuts or seam splits. 5-Star Seller Guarantees Satisfaction. See our listings for other rare vinyl...",
The Wildest Show At Tahoe by Louis Prima,1958 Mono Release,$21.95,http://www.planetmusic33.com/the-wildest-show-at-tahoe-by-louis-prima-1958-mono-release/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10062/images/3878/louis_prima_wildest__34073.1359614214.285.365.jpg?c=2,"Rare original mono vinyl release of Capitol label. LP cover (as pictured) is like new and frame-ready w/no ring wear, holes/slices or seam splits. VG+ vinyl w/minimum surface wear not affecting  Louis' jumpin' jive swing jazz. Can play test upon request. 5-Star Seller Guarantees Satisfaction. See our listings for other rare vinyl from Louis, Sam and Keely...",
Heritage by Bud Shank,Concord Jazz Release,$24.95,http://www.planetmusic33.com/heritage-by-bud-shank-concord-jazz-release/,http://cdn2.bigcommerce.com/server4100/gcn15dx3/products/10047/images/1786/Picture_1__53287.1356647157.285.365.png?c=2,Rare like new condition for this Concord Jazz label release (CJ-56). Vinyl is near mint and LP cover is frame-ready w/no ring wear and no holes/slices or seam splits. 5-Star Seller Guaranteees Satisfaction. See our listings for other rare Bud Shank vinyl...,
Jump For Joy [Vinyl] Jim Kweskin with the Neo-Passé Jazz Band,,$33.99,http://www.planetmusic33.com/jump-for-joy-vinyl-jim-kweskin-with-the-neo-passe-jazz-band/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/10020/images/2009/6154CNM0T0L._SL500_AA300___25979.1356900641.285.365.jpg?c=2,Like new throughout on Vanguard label (VSD-79243). Vinyl is like new (both sides) and LP cover is frame-ready w/no ring wear and no holes/slices or seam splits. Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for other Kweskin vinyl...,
new new orleans music: jump jazz LP [Vinyl] ED FRANK / RAMSEY MCLEAN,,$18.95,http://www.planetmusic33.com/new-new-orleans-music-jump-jazz-lp-vinyl-ed-frank-ramsey-mclean/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/9973/images/1459/new_orleans__50934.1355673140.285.365.jpg?c=2,Like new vinyl (both sides) with plastic sleeve. LP cover is frame-ready w/no ringwear and no holes/slices/seam splits. Ships in 24 hours. 5-Star Seller Guarantees Satisfaction. See our listings for many other N'awlins vinyl titles...,
